Year,Group,Sample,SampID,GSample,Drain,Zone,ZoneSimp,Type,Type2,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
2021,ENVT3361.2,AF_sed_56,2021_2_2,2_2,NA,SW,ChapmanE,NA,NA,400271,6467978,115.9451124,-31.91971313,NA,NA,NA,4.97,11.71,7000,6000,NA,NA,13000,29631,1.6,37,632,0.108,95.3,7.3,56.3,30,42846,20.4,7.8,2975,37,34.4,3094,136.7,6.3,13550,42.3,14,313,24.7,46.6,1434,9.4,20.8,20,195,92.2,22.2,17.6
2021,ENVT3361.2,AF_sed_57,2021_2_3,2_3,NA,SE,ChapmanE,NA,NA,400329,6467985,115.9457266,-31.91965508,NA,NA,NA,4.66,15.51,2500,3000,NA,NA,5500,30010,NA,27,662,0.092,78,6.1,54.4,28,34346,17,6.6,2835,28.7,29.1,3564,78.3,3.4,14930,36.6,14,258,24.8,46.4,1550,8.7,20.4,17.6,205.6,83.2,16.6,21.7
2021,ENVT3361.2,AF_sed_58,2021_2_4,2_4,NA,SE,ChapmanE,NA,NA,400383,6467960,115.9462951,-31.91988533,NA,NA,NA,5.06,12.27,NA,1500,NA,NA,1500,29401,NA,43,823,0.109,137.3,9.2,58.5,30,37686,19,9.1,2946,62.9,29.8,3738,171.9,2.6,13807,52.4,17,294,29,49.4,1469,9.4,27.6,18.7,219.1,82.4,36.3,27.3
2021,ENVT3361.2,AF_sed_59,2021_2_5,2_5,NA,SE,ChapmanE,NA,NA,400427,6467985,115.946763,-31.91966367,NA,NA,NA,4.35,12.43,2000,4000,NA,NA,6000,34617,2.8,75,829,0.099,98.2,9.4,56.9,25,40687,19.8,8.4,3144,39.9,39.1,3179,57.9,2.8,14381,44.9,28,289,22,48.7,2667,8.9,67.5,18,191.4,84.8,20.9,21.4
2021,ENVT4461.1,AF_sed_23,2021_11_1,11_1,NA,SW_transect,SW_transect,NA,NA,400197.2,6468078,115.9443422,-31.91880461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41249,7.3,66,2101,0.245,94.4,17.1,71.4,654,34296,17.5,6.1,5265,45.8,48.5,5080,74.3,3.6,13831,37.5,31,1030,72.9,74.9,3653,10.4,78.3,22.5,279.7,79.1,19.7,322.8
2021,ENVT4461.1,AF_sed_24,2021_11_2,11_2,NA,SW_transect,SW_transect,NA,NA,400204.4,6468066,115.9444171,-31.91891348,NA,NA,NA,5.06,8.18,NA,NA,NA,NA,NA,35309,4.7,58,1679,0.173,99.3,14.6,73.4,221,46610,21.2,6.6,4816,47.9,36.5,4853,83.5,1.5,10754,40.3,26,633,71.2,71.4,1620,10.9,43.8,25.9,291.1,84.5,20.8,335.1
2021,ENVT4461.1,AF_sed_25,2021_11_3,11_3,NA,SW_transect,SW_transect,NA,NA,400211.6,6468055,115.9444921,-31.91901334,NA,NA,NA,6.22,5.95,NA,NA,NA,NA,NA,39576,NA,101,1855,0.221,128.8,14,81.5,141,46293,19.6,8.6,4445,65,38.1,4891,140.2,1.2,8961,51.4,29,546,69.1,73.7,910,12.4,51.8,26.9,395.2,93.8,28.6,283.4
2021,ENVT4461.1,AF_sed_26,2021_11_4,11_4,NA,SW_transect,SW_transect,NA,NA,400218.8,6468043,115.9445671,-31.91912222,NA,NA,NA,5.97,8.15,4500,6500,NA,250,11250,39665,2.8,75,2052,0.202,106.3,15.1,80.8,185,41907,18.9,6.9,4975,53.1,37.8,5046,111.7,0.8,11841,42.8,28,569,89,77.3,2037,11.8,47.4,25.6,367,87.6,21.8,261.6
2021,ENVT4461.1,AF_sed_27,2021_11_5,11_5,NA,SW_transect,SW_transect,NA,NA,400226,6468031,115.944642,-31.91923109,NA,NA,NA,5.86,12.1,1000,8000,250,250,9500,34303,4.6,65,2261,0.12,93.4,11.5,69.5,201,35224,17.3,6.1,4253,45,32.3,4984,96.8,1.2,14879,37.7,24,753,48.8,65.2,2923,10.4,47.5,23.7,274.7,83.6,19.6,153.7
2021,ENVT4461.1,AF_sed_60,2021_11_6,11_6,NA,Woolcock,Woolcock,NA,NA,400041,6468267,115.9427098,-31.91708601,NA,NA,NA,5.2,280,1000,12750,NA,NA,13750,888,NA,6,470,0.031,2.3,12.2,1.8,NA,1562,NA,NA,73,1.5,0.5,106,6.9,0.1,61,1,2,26,4.5,0.6,1358,0.1,2.3,NA,47.2,2.3,0.5,825.2
2021,ENVT4461.2,AF_sed_61,2021_12_1,12_1,NA,Woolcock,Woolcock,NA,NA,400050,6468255,115.9428037,-31.91719505,NA,NA,NA,4.74,0.14,1000,4000,NA,NA,5000,2855,0.4,14,843,0.039,4.1,11.9,4.1,2,4297,NA,0.2,215,2.5,1.4,280,19.7,0.2,122,1.9,3,57,15.5,1.6,1782,0.2,3.3,1.1,112.3,5.9,1.2,891.5
2021,ENVT4461.2,AF_sed_62,2021_12_2,12_2,NA,Woolcock,Woolcock,NA,NA,400056,6468247,115.9428663,-31.91726774,NA,NA,NA,7.3,0.25,1000,1500,NA,NA,2500,10635,4,16,11933,0.154,17.6,56.3,11,12,23630,7.6,1.4,493,14.3,1.4,827,263.9,0.6,432,7.2,7,361,13.5,2.6,1471,0.6,29.4,2.7,103.7,19,4.5,2807
2021,ENVT4461.2,AF_sed_63,2021_12_3,12_3,NA,Woolcock,Woolcock,NA,NA,400055,6468230,115.942854,-31.917421,NA,NA,NA,7.35,0.47,6000,1000,NA,NA,7000,12920,5.5,34,21592,0.254,25.4,56.1,14.5,24,28221,10.2,1.9,405,20.9,2,1276,107.5,0.7,571,9.6,13,682,26.7,3.1,3591,0.6,60.6,2.1,89.8,16.9,6.5,7556.4
2021,ENVT4461.2,AF_sed_64,2021_12_4,12_4,NA,Woolcock,Woolcock,NA,NA,400050,6468217,115.9427998,-31.91753783,NA,NA,NA,6.42,0.77,2500,8500,NA,NA,11000,25844,9,41,8281,0.346,47.9,63.2,20.2,33,58538,20.9,3.5,579,36.9,2.8,1633,181.7,1.8,1032,15.6,17,1052,39.5,3.8,4113,0.9,48.4,3.1,130.3,28.4,10.2,7035
2021,ENVT4461.2,AF_sed_65,2021_12_5,12_5,NA,Woolcock,Woolcock,NA,NA,400055,6468199,115.9428508,-31.91770063,NA,NA,NA,6.02,0.96,NA,1500,NA,NA,1500,38846,5.2,37,7865,0.38,67.5,53.5,19.7,28,87955,33.5,5.1,488,52.3,3.1,1499,168.3,3,1102,20.8,15,1074,37.2,3.8,3826,1.1,46.4,3.2,114.8,34.1,13.7,4786.3
2021,ENVT4461.3,AF_sed_67,2021_13_1,13_1,NA,KMD,KMD,NA,NA,399985,6468034,115.9420935,-31.91918283,NA,NA,NA,6.07,18.19,NA,NA,NA,NA,NA,10390,0.9,19,3841,0.069,28.3,2.5,20.4,37,9803,5.5,1.9,1889,14.2,11.9,5316,16.1,1.2,22257,12,8,675,23.1,16.1,4634,2.2,67.8,3.2,78.7,24.4,6.4,233.5
2021,ENVT4461.3,AF_sed_68,2021_13_2,13_2,NA,KMD,KMD,NA,NA,399981,6468029,115.9420507,-31.91922758,NA,NA,NA,5.92,21.08,NA,NA,NA,NA,NA,30353,4.4,58,3414,0.115,75.4,6.8,58.1,63,23624,12.9,4.6,3669,37.3,30,6385,40,2.4,22081,30.7,18,545,50.9,51.8,10473,8,88.9,13.8,215.8,65.4,15.7,236.9
2021,ENVT4461.3,AF_sed_69,2021_13_3,13_3,NA,KMD,KMD,NA,NA,399977,6468009,115.9420063,-31.91940764,NA,NA,NA,3.16,32.9,NA,NA,NA,NA,NA,19705,7.8,45,3594,0.617,63.9,17.5,42.2,79,69281,30,5.9,3296,31.6,23.1,7116,78.4,6.4,37420,28.4,18,466,32.9,38.2,64085,5.7,84.6,10.7,149.1,73.9,16.1,873.4
2021,ENVT4461.3,AF_sed_70,2021_13_4,13_4,NA,KMD,KMD,NA,NA,399977,6468030,115.9450857,-31.91922,NA,NA,NA,4.82,31.3,NA,NA,NA,NA,NA,28640,4.2,39,2842,0.14,68.3,6.8,56.8,59,27317,14.7,4.6,3759,31.4,29.1,6439,38.4,2.7,26085,28.8,17,410,31.1,54.6,11980,8.5,64.4,16.6,207.8,66.5,14.5,291.6
